PID,Links,QT1NODE,QT1TimeNODE,QT1T_ScoreNODE,QT2NODE,QT2TimeAdjNODE,QT2BestNODE,QT2SecondBestNODE,QT2GoodNODE,QT3NODE,QT3TimeNODE,QT3CorrectNODE,QT3ErrorsNODE,QT4NODE,QT4TimeNODE,QT4Best1NODE,QT4GoodNODE,QT5NODE,QT5TimeNODE,QT5CorrectNODE,QS1NODE,QS2NODE,QS3NODE,QS4NODE,QS5NODE,QS6NODE,QS7NODE,QS8NODE,QS9NODE,QS10NODE,QT1SPHERE,QT1TimeSPHERE,QT1T_ScoreSPHERE,QT2SPHERE,QT2TimeAdjSPHERE,QT2BestSPHERE,QT2SecondBestSPHERE,QT2GoodSPHERE,QT3SPHERE,QT3TimeSPHERE,QT3CorrectSPHERE,QT3ErrorsSPHERE,QT4SPHERE,QT4TimeSPHERE,QT4Best1SPHERE,QT4GoodSPHERE,QT5SPHERE,QT5TimeSPHERE,QT5CorrectSPHERE,QT4TimeSPHERE,QT4CorrectSPHERE,QS1SPHERE,QS2SPHERE,QS3SPHERE,QS4SPHERE,QS5SPHERE,QS6SPHERE,QS7SPHERE,QS8SPHERE,QS9SPHERE,QS10SPHERE
12,No,Marvel,02:15.9,1,X-Men: Age of Apocalypse 2016,01:20.7,0,0,0,Amazing Spiderman 2 2014Hulk 2003Punisher 2004The Incredible Hulk 2008Swamp Thing 1982,05:31.4,0,5,Iron Man 2008,03:43.1,0,0,The Dark Knight Rises 2012Kingsman: The Secret Service 2015Captain America: the Winter Soldier 2014,11:17.2,1,1,4,3,4,5,5,4,4,2,4,Marvel,00:36.5,1,Avengers: Age of Ultron (2015),02:15.9,1,1,1,Watchmen (2009)Movie: Mystery Men (1999)Movie: From Hell (2001)Movie: League of Extraordinary Gentlemen (2003),06:52.9,4,0,Captain America: the First Avenger (2011),,04:12.2,1,Scott Pilgrim vs the World (2010)Movie: The Dark Knight Rises (2012)Movie: Captain America: the Winter Soldier (2014)Movie: Kingsman: The Secret Service (2015),,,03:20.7,1,5,3,4,5,1,4,4,5,2,4
13,Yes,Marvel,00:32.9,1,Avengers 2012,01:18.4,0,0,1,Fantastic Four 2015Punisher 1989From Hell 2001Howard the Duck 1986,03:12.1,4,0,Sin City 2 2013,01:29.5,0,1,Red 2010Fantastic Four 2005,13:36.6,0,3,2,4,5,1,5,6,5,4,2,Marvel,00:09.2,1,Men In Black 3 (2012),01:20.8,0,0,0,From Hell (2001),00:08.9,1,0,Teenage Mutant Ninja Turtles (1990),,01:29.8,0,Red 2 (2013),,,04:17.4,0,2,0,2,4,1,6,5,4,2,4
14,No,Marvel,01:30.0,1,Avengers 2012,03:07.4,0,0,1,Howard the Duck 1986,05:01.6,1,0,X-Men: Days of Future Past 2014,01:29.9,0,1,Superman Returns 2006,05:42.9,0,5,1,6,6,1,5,6,6,5,5,Marvel,01:25.2,1,Superman 2 (1980),02:01.2,0,0,0,V for Vendetta (2006)Movie: Constantine (2005)Movie: Kick-ass 2 (2013)Movie: Judge Dredd (1995)Movie: Wanted (2008)Movie: League of Extraordinary Gentlemen (2003)Movie: Dredd (2012)Movie: Men In Black (1997)Movie: Scott Pilgrim vs the World (2010),04:06.8,1,8,Amazing Spiderman 2 (2014),,01:04.9,0,Batman Forever (1995),,,02:49.7,0,5,3,6,6,0,5,5,6,5,5
15,Yes,Marvel,00:51.9,1,Captain America: Civil War 2016,01:08.6,0,0,0,Kick-ass 2010Dredd 2012Punisher 2004Hulk 2003,02:23.2,0,4,Avengers: Age of Ultron 2015,01:43.7,0,0,Scott Pilgrim vs the World 2010Captain America: the Winter Soldier 2014Avengers: Age of Ultron 2015,07:17.9,0,5,3,4,5,2,4,5,3,2,2,Dark Horse,00:52.0,0,Avengers (2012),05:00.9,0,0,1,Spawn (1997)Movie: Constantine (2005)Movie: From Hell (2001)Movie: League of Extraordinary Gentlemen (2003),05:05.4,2,2,Supergirl (1984),,02:51.7,0,Red 2 (2013)Movie: Superman Returns (2006)Movie: The Dark Knight Rises (2012)Movie: Red (2010)Movie: Wanted (2008),,,06:39.3,0,5,2,5,5,3,5,5,4,3,3
16,No,Marvel,01:46.1,1,Avengers: Age of Ultron 2015,04:16.2,1,1,1,From Hell 2001League of Extraordinary Gentlemen 2003,02:15.0,2,0,X-Men: Days of Future Past 2014,05:20.5,0,1,Scott Pilgrim vs the World 2010The Dark Knight 2008Avengers 2012Thor 2011,06:25.6,0,4,4,4,2,2,5,3,3,2,5,Marvel,00:12.4,1,Movie: X2 (2003),05:35.7,0,0,0,Movie: Mystery Men (1999)Movie: From Hell (2001)Movie: Howard the Duck (1986)Movie: Punisher (1989)Movie: Fantastic Four (2015)Movie: League of Extraordinary Gentlemen (2003)Movie: Watchmen (2009),04:58.4,7,0,Jonah Hex (2010),,03:48.5,1,Movie: Scott Pilgrim vs the World (2010)Movie: The Dark Knight (2008)Movie: Kingsman: The Secret Service (2015),,,05:55.6,1,4,5,5,5,1,4,4,4,5,5
17,Yes,Marvel,01:31.6,1,Avengers: Age of Ultron 2015,01:45.4,1,1,1,Mystery Men 1999From Hell 2001Punisher 1989Watchmen 2009League of Extraordinary Gentlemen 2003,01:43.9,5,0,Kingsman: The Secret Service 2015,02:16.1,0,0,Scott Pilgrim vs the World 2010The Dark Knight Rises 2012Sin City 2 2013Sin City 2005Fantastic Four 2005,02:20.9,0,5,2,4,3,0,5,4,3,3,4,Marvel,05:08.1,1,X-Men: Days of Future Past (2014),02:17.8,0,0,0,Watchmen (2009)Movie: From Hell (2001)Movie: Mystery Men (1999)Movie: League of Extraordinary Gentlemen (2003)Movie: Fantastic Four (2015)Movie: Howard the Duck (1986),02:09.4,6,0,Jonah Hex (2010),,03:58.3,1,The Dark Knight (2008)Movie: Scott Pilgrim vs the World (2010)Movie: Captain America: Civil War (2016)Movie: Kingsman: The Secret Service (2015)Movie: Captain America: the First,,,10:11.8,1,3,3,5,2,0,4,2,3,2,4
18,No,Mirage,05:58.6,1,Fantastic Four: Rise of the Silver Surfer 2007,02:54.6,0,0,1,Punisher 1989Fantastic Four 2015From Hell 2001League of Extraordinary Gentlemen 2003,02:39.5,4,0,X-Men: First Class 2011,04:39.1,0,0,Scott Pilgrim vs the World 2010The Dark Knight 2008Kingsman: The Secret Service 2015Batman Begins 2005The Dark Knight Rises 2012Avengers: Age of Ultron 2015Captain America: the Winter Soldier 2014Fantastic Four: Rise of the Silver Surfer 2007Captain America: Civil War 2016,10:19.9,1,2,2,3,3,4,5,4,3,4,4,Marvel,01:50.8,1,X-Men: First Class (2011),02:56.4,0,0,0,Watchmen (2009)Movie: League of Extraordinary Gentlemen (2003)Movie: Howard the Duck (1986)Movie: Punisher (1989)Movie: Mystery Men (1999)Movie: From Hell (2001),05:53.4,6,0,Captain America: the First Avenger (2011),,02:57.3,1,The Dark Knight (2008)Movie: Scott Pilgrim vs the World (2010),,,13:11.0,0,2,1,2,3,4,3,1,2,4,4
19,Yes,Marvel,00:59.1,1,Iron Man 2008,01:23.5,0,0,0,From Hell 2001,00:24.5,1,0,Men In Black 3 2012,01:45.6,0,0,Wanted 2008X-Men: Days of Future Past 2014Superman Returns 2006Kingsman: The Secret Service 2015Scott Pilgrim vs the World 2010,09:26.0,1,0,3,4,6,2,4,5,5,3,4,Marvel,00:47.7,1,Iron Man 2008,01:22.5,0,0,0,From Hell 2001,00:14.5,1,0,Jonah Hex (2010),,02:45.9,1,Superman Returns (2006),,,12:17.1,0,2,4,1,2,4,4,5,3,2,3
20,No,Marvel,00:27.0,1,Avengers (2012),04:47.6,0,0,1,Avengers (2012),00:02.8,0,1,Superman Returns (2006),01:50.3,0,0,Avengers 2012Captain America: the First Avenger 2011Kingsman: The Secret Service 2015Superman Returns 2006Scott Pilgrim vs the World 2010Fantastic Four 2005,04:22.8,1,5,3,4,6,4,5,4,5,4,4,Marvel,00:38.2,1,Avengers (2012),02:43.7,0,0,1,Mystery Men (1999),02:06.7,1,0,Sin City 2 (2013),,01:15.8,1,Scott Pilgrim vs the World (2010)Movie: Avengers (2012)Movie: Avengers: Age of Ultron (2015)Movie: Ant-Man (2015)Movie: Captain America: the First Avenger (2011)Movie: Captain America: the Winter Soldier (2014)Movie: Captain America: Civil War (2016)Movie: Fantastic Four: Rise of the Silver Surfer (2007)Movie: Fantastic Four (2005),,,00:43.7,0,4,2,6,6,5,5,5,5,3,4
21,Yes,Marvel,01:45.7,1,Captain America: the First Avenger 2011,02:21.4,0,1,1,Thor 2011Punisher 1989Watchmen 2009Fantastic Four 2015Howard the Duck 1986Mystery Men 1999From Hell 2001League of Extraordinary Gentlemen 2003,06:10.0,7,1,X-Men: Age of Apocalypse 2016,11:18.8,0,1,Spawn 1997Ghost Rider 2007Kingsman: The Secret Service 2015Avengers: Age of Ultron 2015Captain America: the First Avenger 2011,08:10.2,1,2,1,5,6,1,6,5,5,4,1,Marvel,00:43.3,1,X-Men: Days of Future Past (2014),01:18.5,0,0,0,Watchmen (2009)Movie: League of Extraordinary Gentlemen (2003)Movie: Howard the Duck (1986)Movie: Fantastic Four (2015)Movie: Punisher (1989)Movie: Mystery Men (1999)Movie: From Hell (2001),05:03.6,7,0,Sin City 2 (2013),,03:39.0,1,Superman Returns (2006),,,04:12.6,0,4,2,6,4,1,5,5,5,5,2
22,No,Wildstorm,05:50.0,0,Avengers: Age of Ultron 2015,03:16.0,1,1,1,Mystery Men 1999Howard the Duck 1986,04:13.4,2,0,X-Men: Days of Future Past 2014,03:40.1,0,1,MirageKingsman: The Secret Service 2015Captain America: the Winter Soldier 2014,06:49.7,1,4,3,4,3,2,4,5,3,5,4,Marvel,02:57.3,1,Avengers: Age of Ultron (2015),01:34.5,1,1,1,Watchmen (2009)Movie: League of Extraordinary Gentlemen (2003)Movie: Mystery Men (1999),03:27.0,3,0,Fantastic Four: Rise of the Silver Surfer (2007),,03:23.1,0,Superman Returns (2006),,,11:35.8,0,5,4,4,3,1,5,5,4,3,4
23,Yes,Marvel,02:11.3,1,Captain America: the First Avenger 2011,01:13.5,0,1,1,Watchmen 2009,00:40.2,1,0,Batman 1989,02:46.9,0,0,Scott Pilgrim vs the World 2010The Dark Knight 2008Batman v Superman: Dawn of Justice 2016,05:45.0,0,4,5,4,3,3,5,4,5,4,3,Marvel,00:14.0,1,X-Men (2000),02:51.2,0,0,0,From Hell (2001)Movie: Mystery Men (1999)Movie: League of Extraordinary Gentlemen (2003),01:37.4,3,0,Superman 2 (1980),,03:14.4,0,Fantastic Four: Rise of the Silver Surfer (2007),,,02:39.0,0,4,4,5,4,0,4,3,4,4,4
24,No,Marvel,00:35.7,1,Avengers: Age of Ultron (2015),00:20.5,1,1,1,Avengers: Age of Ultron (2015),00:33.9,0,1,Scott Pilgrim vs the World 2010,02:20.0,0,0,Scott Pilgrim vs the World 2010Batman Forever 1995Kick-ass 2 2013Captain America: the First Avenger 2011,01:09.9,0,3,2,3,4,1,5,4,3,2,4,Marvel,00:15.4,1,Avengers: Age of Ultron (2015),01:37.4,1,1,1,From Hell (2001),00:56.9,1,0,Sin City 2 (2013),,01:55.9,1,Scott Pilgrim vs the World (2010)Movie: The Dark Knight (2008)Movie: Superman Returns (2006),,,03:25.8,0,5,3,5,4,0,6,5,5,4,6
25,Yes,Marvel,01:53.9,1,Fantastic Four: Rise of the Silver Surfer 2007,00:58.7,0,0,1,Mystery Men 1999,00:16.0,1,0,Red 2 2013,01:24.1,0,1,Teenage Mutant Ninja Turtles 2014Superman 2 1980,00:34.0,0,4,1,5,4,4,4,5,3,5,4,Marvel,00:19.7,1,Batman and Robin (1997),00:50.8,0,0,0,From Hell (2001),01:12.8,1,0,Superman 2 (1980),,00:53.1,0,Batman Begins (2005),,,02:28.4,0,4,0,5,4,4,4,2,4,5,4
26,No,Marvel,00:43.7,1,X-Men 2000,01:17.3,0,0,0,Mystery Men 1999Howard the Duck 1986Fantastic Four 2015Punisher 1989,02:39.2,4,0,Blade Trinity 2004,01:01.6,0,0,Captain America: Civil War 2016,03:23.6,0,1,2,2,2,2,5,2,0,4,3,Marvel,04:30.9,1,X-Men: Days of Future Past (2014),02:19.8,0,0,0,From Hell (2001)Movie: Howard the Duck (1986)Movie: Punisher (1989)Movie: Watchmen (2009),03:34.8,4,0,Men In Black 2 (2002),,01:14.2,1,Superman Returns (2006),,,04:08.0,0,1,1,2,4,3,3,2,2,4,4
27,Yes,Marvel,01:13.2,1,X-Men: Age of Apocalypse 2016,02:20.4,0,0,0,The Incredible Hulk 2008,01:31.4,0,1,Men In Black 3 2012,01:47.7,0,0,Kingsman: The Secret Service 2015Red 2 2013,05:11.9,1,5,5,4,2,5,3,5,3,3,5,Marvel,01:03.0,1,Avengers: Age of Ultron (2015),00:56.1,1,1,1,Mystery Men (1999),00:26.5,1,0,V for Vendetta (2006),,03:06.7,0,Superman Returns (2006),,,02:37.2,0,5,2,5,5,1,5,5,4,5,5
28,No,DC,03:12.4,0,Constantine 2005,01:29.9,0,0,0,League of Extraordinary Gentlemen 2003,01:44.9,1,0,X-Men: Days of Future Past 2014,01:25.4,0,1,Spiderman 3 2007,20:00.3,0,3,3,3,5,4,5,4,4,4,6,Marvel,00:29.3,0,Kick-ass (2010),08:40.6,0,0,0,From Hell (2001)Movie: Mystery Men (1999),01:59.5,2,0,Captain America: the First Avenger (2011),,02:18.1,1,Captain America: Civil War (2016)Movie: Captain America: the Winter Soldier (2014)Movie: Captain America: the First Avenger (2011)Movie: Avengers (2012)Movie: Fantastic Four: Rise of the Silver Surfer (2007)Movie: Fantastic Four (2015),,,01:47.0,0,5,5,6,5,2,6,5,4,5,5
