QNumT:1 Input Value:X-Men: Age of Apocalypse 2016,
Time Elapsed,20:18.9
QNumT:2 Input Value:Batman Forever 1995,
Time Elapsed,20:30.5
QNumT:3 Input Value:Sin City 2005,
Time Elapsed,22:14.8
QNumT:4 Input Value:Scott Pilgrim vs the World 2010,
Time Elapsed,36:36.2
QNumS:0 Input Value:5,
Time Elapsed,00:24.2
QNumS:1 Input Value:4,
Time Elapsed,00:35.3
QNumS:2 Input Value:4,
Time Elapsed,00:44.6
QNumS:3 Input Value:4,
Time Elapsed,00:53.9
QNumS:4 Input Value:3,
Time Elapsed,01:00.6
QNumS:5 Input Value:5,
Time Elapsed,01:07.1
QNumS:6 Input Value:4,
Time Elapsed,01:13.2
QNumS:7 Input Value:4,
Time Elapsed,01:21.5
QNumS:8 Input Value:5,
Time Elapsed,01:29.3
QNumS:9 Input Value:5,
Time Elapsed,01:36.0
QNumS:9 Input Value:5,
Time Elapsed,01:36.0
7/24/2017 12:54,7/24/2017 12:56
SphereScenefalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:45.3
QNumT:1 Input Value:Movie: Avengers: Age of Ultron (2015),
Time Elapsed,05:48.6
QNumT:2 Input Value:Movie: League of Extraordinary Gentlemen (2003),
Time Elapsed,06:34.1
QNumT:2 Input Value:Movie: League of Extraordinary Gentlemen (2003)Movie: Watchmen (2009)Movie: From Hell (2001)Movie: Mystery Men (1999),
Time Elapsed,10:37.9
QNumT:3 Input Value:Movie: Avengers: Age of Ultron (2015),
Time Elapsed,10:55.2
QNumT:4 Input Value:Movie: Scott Pilgrim vs the World (2010),
Time Elapsed,11:58.2
QNumS:0 Input Value:5,
Time Elapsed,00:07.2
QNumS:1 Input Value:1,
Time Elapsed,00:15.5
QNumS:2 Input Value:5,
Time Elapsed,00:21.4
QNumS:3 Input Value:5,
Time Elapsed,00:31.3
QNumS:4 Input Value:1,
Time Elapsed,01:04.6
QNumS:5 Input Value:5,
Time Elapsed,01:16.8
QNumS:6 Input Value:5,
Time Elapsed,01:33.2
QNumS:7 Input Value:5,
Time Elapsed,01:42.0
QNumS:8 Input Value:6,
Time Elapsed,01:55.7
QNumS:9 Input Value:6,
Time Elapsed,02:11.3
QNumS:9 Input Value:6,
Time Elapsed,02:11.3
7/24/2017 13:12,7/24/2017 13:14
PARTICIPANT5,
SphereScenetrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,01:15.4
QNumT:1 Input Value:Movie: Green Lantern (2011),
Time Elapsed,02:23.2
QNumT:2 Input Value:Movie: Dredd (2012),
Time Elapsed,03:00.0
QNumT:3 Input Value:Movie: X-Men: Age of Apocalypse (2016),
Time Elapsed,03:07.7
QNumT:4 Input Value:Movie: Avengers (2012),
Time Elapsed,03:55.1
QNumS:0 Input Value:3,
Time Elapsed,00:13.1
QNumS:1 Input Value:2,
Time Elapsed,00:25.0
QNumS:2 Input Value:4,
Time Elapsed,00:37.3
QNumS:3 Input Value:4,
Time Elapsed,00:49.9
QNumS:4 Input Value:3,
Time Elapsed,01:04.3
QNumS:5 Input Value:3,
Time Elapsed,01:12.5
QNumS:6 Input Value:4,
Time Elapsed,01:17.5
QNumS:7 Input Value:5,
Time Elapsed,01:26.2
QNumS:8 Input Value:4,
Time Elapsed,01:41.1
QNumS:9 Input Value:2,
Time Elapsed,01:50.0
QNumS:9 Input Value:2,
Time Elapsed,01:50.0
7/25/2017 12:22,7/25/2017 12:24
NodeGraphtrue,
QNumT:0 Input Value:Marvel,
Time Elapsed,00:11.1
QNumT:1 Input Value:Fantastic Four: Rise of the Silver Surfer 2007,
Time Elapsed,00:47.8
QNumT:2 Input Value:Teenage Mutant Ninja Turtles 2: the Secret of the Ooze 1991,
Time Elapsed,01:40.4
QNumT:3 Input Value:Ghost Rider: Spirit of Vengeance 2012,
Time Elapsed,02:07.8
QNumT:4 Input Value:Batman and Robin 1997,
Time Elapsed,03:01.1
QNumS:0 Input Value:3,
Time Elapsed,00:08.0
QNumS:1 Input Value:5,
Time Elapsed,00:23.2
QNumS:2 Input Value:2,
Time Elapsed,00:34.9
QNumS:3 Input Value:6,
Time Elapsed,00:40.1
QNumS:4 Input Value:5,
Time Elapsed,00:45.9
QNumS:5 Input Value:4,
Time Elapsed,00:51.2
QNumS:6 Input Value:5,
Time Elapsed,00:55.3
QNumS:7 Input Value:5,
Time Elapsed,01:01.0
QNumS:8 Input Value:4,
Time Elapsed,01:08.4
QNumS:9 Input Value:1,
Time Elapsed,01:16.0
QNumS:9 Input Value:1,
Time Elapsed,01:16.0
7/25/2017 12:30,7/25/2017 12:31
PARTICIPANT6,
SphereScenefalse,
QNumT:0 Input Value:Marvel,
Time Elapsed,04:01.3
QNumT:1 Input Value:Movie: Avengers (2012),
Time Elapsed,10:09.3
QNumT:2 Input Value:Movie: League of Extraordinary Gentlemen (2003)Movie: Mystery Men (1999)Movie: From Hell (2001),
Time Elapsed,13:52.9
QNumT:3 Input Value:Movie: Avengers (2012),
Time Elapsed,16:22.3
QNumT:4 Input Value:Movie: The Dark Knight (2008)Movie: Scott Pilgrim vs the World (2010)Movie: Superman Returns (2006),
Time Elapsed,22:18.6
QNumS:0 Input Value:2,
Time Elapsed,00:15.4
QNumS:1 Input Value:5,
Time Elapsed,00:32.4
QNumS:2 Input Value:6,
Time Elapsed,00:41.6
QNumS:3 Input Value:6,
Time Elapsed,00:55.6
QNumS:4 Input Value:2,
Time Elapsed,01:17.3
QNumS:5 Input Value:6,
Time Elapsed,01:23.3
QNumS:6 Input Value:5,
Time Elapsed,01:29.4
QNumS:7 Input Value:4,
Time Elapsed,01:47.3
QNumS:8 Input Value:4,
Time Elapsed,02:29.1
QNumS:9 Input Value:5,
Time Elapsed,02:49.8
QNumS:9 Input Value:5,
Time Elapsed,02:49.8
7/25/2017 14:47,7/25/2017 14:50
