PID 	VIZ 	LINKS 	T1A 	T1T 	T2A 	T2T 	T3A 	T3T 	T4A 	T4T 	T5A 	T5T 	Q1 	Q2 	Q3 	Q4 	Q5 	Q6 	Q7 	Q8 	Q9 	Q10 	
20 	Node 	NoLinks 	Marvel 	00:27.0 	Avengers 2012 	05:14.6 	Avengers 2012 	05:17.4 	Captain America: the First Avenger 2011 	07:07.7 	Avengers 2012Captain America: the First Avenger 2011Kingsman: The Secret Service 2015Superman Returns 2006Scott Pilgrim vs the World 2010Fantastic Four 2005 	01:28.2 	5 	3 	4 	6 	4 	5 	4 	5 	4 	4 	
20 	Sphere 	NoLinks 	Marvel 	00:38.2 	Avengers (2012) 	03:21.9 	Mystery Men (1999) 	05:28.6 	Sin City 2 (2013) 	06:44.4 	Scott Pilgrim vs the World (2010), Avengers (2012), Avengers: Age of Ultron (2015), Ant-Man (2015), Captain America: the First Avenger (2011), Captain America: the Winter Soldier (2014), Captain America: Civil War (2016), Fantastic Four: Rise of the Silver Surfer (2007), Fantastic Four (2005) 	00:51.0 	4 	2 	6 	6 	5 	5 	5 	5 	3 	4 	
21 	Sphere 	Links 	Marvel 	00:43.3 	X-Men: Days of Future Past (2014) 	02:01.8 	Watchmen (2009), League of Extraordinary Gentlemen (2003), Howard the Duck (1986), Fantastic Four (2015), Punisher (1989), Mystery Men (1999), From Hell (2001) 	07:05.4 	Sin City 2 (2013) 	10:44.4 	Superman Returns (2006) 	01:01.5 	4 	2 	6 	4 	1 	5 	5 	5 	5 	2 	
21 	Node 	Links 	Marvel 	01:45.7 	Captain America: the First Avenger 2011 	04:07.1 	Thor 2011Punisher 1989Watchmen 2009Fantastic Four 2015Howard the Duck 1986Mystery Men 1999From Hell 2001League of Extraordinary Gentlemen 2003 	10:17.1 	X-Men: Age of Apocalypse 2016 	21:35.9 	Spawn 1997Ghost Rider 2007Kingsman: The Secret Service 2015Avengers: Age of Ultron 2015Captain America: the First Avenger 2011 	00:40.4 	2 	1 	5 	6 	1 	6 	5 	5 	4 	1 	
22 	Sphere 	NoLinks 	Marvel 	02:57.3 	Avengers: Age of Ultron (2015) 	04:31.8 	Watchmen (2009), League of Extraordinary Gentlemen (2003), Mystery Men (1999) 	07:58.8 	Fantastic Four: Rise of the Silver Surfer (2007) 	11:21.9 	Superman Returns (2006) 	02:06.2 	5 	4 	4 	3 	1 	5 	5 	4 	3 	4 	
22 	Node 	NoLinks 	Wildstorm 	05:49.6 	Avengers: Age of Ultron 2015 	09:06.0 	Mystery Men 1999Howard the Duck 1986 	13:19.4 	X-Men: Days of Future Past 2014 	16:59.5 	MirageKingsman: The Secret Service 2015Captain America: the Winter Soldier 2014 	01:00.3 	4 	3 	4 	3 	2 	4 	5 	3 	5 	4 	
23 	Node 	Links 	Marvel 	02:11.3 	Captain America: the First Avenger 2011 	03:24.8 	Watchmen 2009 	04:05.5 	Batman 1989 	06:51.9 	Scott Pilgrim vs the World 2010The Dark Knight 2008Batman v Superman: Dawn of Justice 2016 	01:34.7 	4 	5 	4 	3 	3 	5 	4 	5 	4 	3 	
23 	Sphere 	Links 	Marvel 	00:14.0 	X-Men (2000) 	03:05.2 	From Hell (2001), Mystery Men (1999), League of Extraordinary Gentlemen (2003) 	04:42.6 	Superman 2 (1980) 	07:57.0 	Fantastic Four: Rise of the Silver Surfer (2007) 	01:24.7 	4 	4 	5 	4 	1 	4 	3 	4 	4 	4 	
24 	Node 	NoLinks 	Marvel 	00:35.7 	Avengers: Age of Ultron 2015 	00:56.2 	Avengers: Age of Ultron 2015 	01:30.1 	Scott Pilgrim vs the World 2010 	03:50.1 	Scott Pilgrim vs the World 2010Batman Forever 1995Kick-ass 2 2013Captain America: the First Avenger 2011 	02:00.4 	3 	2 	3 	4 	1 	5 	4 	3 	2 	4 	
24 	Sphere 	NoLinks 	Marvel 	00:15.4 	Avengers: Age of Ultron (2015) 	01:52.8 	From Hell (2001) 	02:49.7 	Sin City 2 (2013) 	04:45.6 	Scott Pilgrim vs the World (2010), The Dark Knight (2008), Superman Returns (2006) 	01:19.0 	5 	3 	5 	4 	1 	6 	5 	5 	4 	6 	
25 	Sphere 	Links 	Marvel 	00:19.7 	Batman and Robin (1997) 	01:10.5 	From Hell (2001) 	02:23.3 	Superman 2 (1980) 	03:16.4 	Batman Begins (2005) 	01:15.2 	4 	1 	5 	4 	4 	4 	2 	4 	5 	4 	
25 	Node 	Links 	Marvel 	01:53.9 	Fantastic Four: Rise of the Silver Surfer 2007 	02:52.6 	Mystery Men 1999 	03:08.6 	Red 2 2013 	04:32.7 	Teenage Mutant Ninja Turtles 2014Superman 2 1980 	01:00.1 	4 	1 	5 	4 	4 	4 	5 	3 	5 	4 	
26 	Sphere 	NoLinks 	Marvel 	04:30.9 	X-Men: Days of Future Past (2014) 	06:50.7 	From Hell (2001), Howard the Duck (1986), Punisher (1989), Watchmen (2009) 	10:25.5 	Men In Black 2 (2002) 	11:39.7 	Superman Returns (2006) 	01:12.2 	1 	1 	2 	4 	3 	3 	2 	2 	4 	4 	
26 	Node 	NoLinks 	Marvel 	00:43.7 	X-Men 2000 	02:01.1 	Mystery Men 1999Howard the Duck 1986Fantastic Four 2015Punisher 1989 	04:40.2 	Blade Trinity 2004 	05:41.8 	Captain America: Civil War 2016 	00:55.5 	1 	2 	2 	2 	2 	5 	2 	1 	4 	3 	
27 	Node 	Links 	Marvel 	01:13.2 	X-Men: Age of Apocalypse 2016 	03:33.6 	The Incredible Hulk 2008 	05:05.0 	Men In Black 3 2012 	06:52.7 	Kingsman: The Secret Service 2015Red 2 2013 	01:34.2 	5 	5 	5 	4 	2 	5 	3 	5 	3 	5 	
27 	Sphere 	Links 	Marvel 	01:03.0 	Avengers: Age of Ultron (2015) 	01:59.1 	Mystery Men (1999) 	02:25.6 	V for Vendetta (2006) 	05:32.3 	Superman Returns (2006) 	01:05.6 	5 	2 	5 	5 	1 	5 	5 	4 	5 	5 	
28 	Node 	NoLinks 	DC 	03:12.4 	Constantine 2005 	04:42.3 	League of Extraordinary Gentlemen 2003 	06:27.2 	X-Men: Days of Future Past 2014 	07:52.6 	Spiderman 3 2007 	01:49.4 	3 	3 	3 	5 	4 	5 	4 	4 	4 	6 	
