PID 	VIZ 	LINKS 	T1A 	T1T 	T2A 	T2T 	T3A 	T3T 	T4A 	T4T 	T5A 	T5T 	Q1 	Q2 	Q3 	Q4 	Q5 	Q6 	Q7 	Q8 	Q9 	Q10 	
36 	Sphere 	NoLinks 	Marvel 	03:27.0 	Captain America: Civil War (2016) 	04:48.6 	Howard the Duck (1986), Fantastic Four (2015), Watchmen (2009), Mystery Men (1999), From Hell (2001) 	07:26.9 	Men In Black 3 (2012) 	09:16.3 	Kingsman: The Secret Service (2015) 	01:05.4 	2 	4 	3 	2 	3 	2 	2 	4 	5 	2 	
37 	Sphere 	Links 	Marvel 	04:22.6 	X-Men: First Class (2011) 	07:46.8 	Punisher (1989) 	08:09.9 	Blade (1998) 	11:12.7 	Superman Returns (2006) 	02:08.3 	4 	7 	5 	2 	2 	2 	6 	3 	3 	2 	
37 	Node 	Links 	Marvel 	01:12.2 	Avengers: Age of Ultron 2015 	01:48.6 	Hulk 2003 	03:29.3 	The Dark Knight Rises 2012 	05:28.0 	Batman Forever 1995 	01:18.8 	5 	7 	3 	5 	6 	2 	4 	2 	5 	2 	
38 	Sphere 	NoLinks 	Marvel 	00:31.6 	X-Men: Days of Future Past (2014) 	08:54.6 	Howard the Duck (1986), From Hell (2001), Mystery Men (1999), League of Extraordinary Gentlemen (2003) 	11:26.8 	Guardians of the Galaxy (2014) 	13:06.7 	Fantastic Four (2005) 	01:06.3 	3 	6 	3 	2 	6 	2 	3 	3 	6 	2 	
38 	Node 	NoLinks 	Marvel 	01:15.9 	Avengers: Age of Ultron 2015 	03:10.5 	From Hell 2001Punisher 1989 	04:11.1 	Red 2 2013 	05:01.6 	Superman Returns 2006 	00:45.1 	3 	6 	4 	3 	6 	3 	3 	2 	5 	3 	
39 	Node 	Links 	Marvel 	01:45.0 	Captain America: Civil War 2016 	04:01.3 	From Hell 2001 	04:08.8 	Men In Black 3 2012 	06:23.2 	Kingsman: The Secret Service 2015Captain America: the First Avenger 2011Captain America: Civil War 2016 	01:29.2 	3 	5 	3 	1 	7 	1 	1 	1 	1 	3 	
39 	Sphere 	Links 	Marvel 	00:11.7 	Avengers: Age of Ultron (2015) 	02:22.9 	League of Extraordinary Gentlemen (2003) 	02:48.9 	Fantastic Four: Rise of the Silver Surfer (2007) 	04:18.8 	Captain America: the First Avenger (2011), Wanted (2008) 	01:23.8 	 4 	4 	5 	7 	5 	5 	3 	5 	3 	5 	
40 	Node 	NoLinks 	DC 	01:30.6 	Captain America: Civil War 2016 	03:29.3 	Punisher 1989Howard the Duck 1986Mystery Men 1999Fantastic Four 2015Watchmen 2009 	05:56.5 	X-Men: First Class 2011 	08:08.8 	The Dark Knight Rises 2012Sin City 2 2013Fantastic Four: Rise of the Silver Surfer 2007 	02:08.3 	3 	6 	3 	2 	3 	2 	2 	3 	3 	2 	
40 	Sphere 	NoLinks 	Marvel 	00:21.9 	Red 2 (2013) 	01:50.3 	Constantine (2005), From Hell (2001), Watchmen (2009) 	03:31.4 	Thor: the Dark World (2013) 	04:34.6 	Scott Pilgrim vs the World (2010), The Dark Knight (2008), The Dark Knight Rises (2012), Avengers (2012), Kingsman: The Secret Service (2015) 	01:23.4 	2 	6 	2 	2 	4 	2 	2 	2 	3 	3 	
41 	Sphere 	Links 	Marvel 	00:33.0 	Howard the Duck (1986) 	04:52.3 	Punisher (1989), Mystery Men (1999), League of Extraordinary Gentlemen (2003), Howard the Duck (1986), Fantastic Four (2015), Watchmen (2009), From Hell (2001) 	06:39.3 	Howard the Duck (1986) 	09:19.4 	Superman Returns (2006), The Dark Knight (2008), The Dark Knight Rises (2012), Batman Begins (2005), Scott Pilgrim vs the World (2010), Captain America: Civil War (2016), Captain America: the Winter Soldier (2014), Captain America: the First Avenger (2011), Batman Forever (1995), Batman and Robin (1997), Batman Returns (1992) 	01:38.2 	4 	4 	5 	3 	6 	5 	3 	3 	2 	6 	
41 	Node 	Links 	Marvel 	00:45.0 	Iron Man 2008 	03:06.9 	From Hell 2001Fantastic Four 2015Punisher 1989 	05:00.3 	Fantastic Four: Rise of the Silver Surfer 2007 	05:27.7 	Scott Pilgrim vs the World 2010The Dark Knight 2008Kingsman: The Secret Service 2015Avengers: Age of Ultron 2015Iron Man 2 2010 	01:07.8 	4 	5 	4 	2 	3 	3 	2 	4 	2 	5 	

